Customer_ID,Age,Annual_Income,Monthly_Spend,Savings,Credit_Score,Loan_Amount,Transactions_Per_Month,Avg_Transaction_Value,Account_Tenure_Years,Online_Sessions_Per_Month,Returned_Transactions
1,45,75548,1100,6687,807,2603,21,70,2,19,0
2,38,53376,2073,5071,672,19182,30,108,16,21,1
3,47,38753,1739,18463,629,40953,30,66,9,21,1
4,58,75879,1658,13109,654,21312,31,77,8,21,3
5,37,53302,2183,13239,780,45783,33,39,13,22,2
6,37,47008,1582,17509,734,0,24,74,6,26,0
7,58,68323,2028,4334,727,1949,38,93,9,25,2
8,49,63214,1553,21437,634,6937,27,57,6,24,2
9,34,170541,17325,104328,385,209168,27,55,4,19,2
10,46,46077,1402,0,728,747,18,79,3,25,2
11,34,51154,1627,17770,804,37582,26,29,5,37,2
12,34,62142,2258,10414,671,25706,35,61,3,15,1
13,42,49925,2007,4247,745,6144,35,30,3,15,2
14,18,51304,2033,5714,704,16029,30,57,11,24,0
15,19,42998,2562,28648,636,23065,35,69,3,15,0
16,33,67212,1750,15650,721,5445,27,39,7,23,0
17,27,47072,1123,15599,632,34416,28,44,8,16,1
18,43,62337,2565,10254,744,2572,36,71,6,22,2
19,29,55425,1532,17550,782,28736,35,72,5,20,2
20,23,46646,2174,26561,645,34647,27,33,5,16,3
21,57,83297,1887,21587,613,18332,29,53,13,14,0
22,37,56891,1187,5763,748,31032,38,101,0,11,2
23,40,37329,1588,11261,731,12235,23,127,10,16,0
24,22,84570,1359,21355,561,0,32,23,8,15,4
25,33,72291,1386,15066,554,28644,32,46,4,15,1
26,41,47744,2015,24728,760,0,19,63,11,15,1
27,26,56352,1789,10881,636,22954,29,54,11,28,2
28,44,67764,1604,18324,621,26801,34,75,4,22,2
29,32,62775,1187,17889,752,0,28,24,0,14,2
30,36,69435,2532,24051,587,0,35,78,10,22,0
31,32,56775,1905,8650,717,20212,36,70,7,18,1
32,62,48886,1858,19618,700,23264,31,55,3,26,1
33,39,56984,2091,0,696,19089,31,57,9,24,1
34,27,39050,1128,18898,685,24529,34,50,5,18,1
35,49,51228,1034,22673,634,11398,26,50,8,26,1
36,25,55738,1628,25603,597,43033,32,57,6,21,3
37,42,61046,1851,15993,800,29833,30,54,11,15,2
38,18,80868,1626,20482,751,28622,26,41,6,24,1
39,24,40278,774,11593,782,310,29,55,7,19,2
40,42,78766,1768,1261,661,7613,18,93,4,22,1
41,48,61560,2088,1367,674,14368,38,32,17,14,0
42,42,20000,1104,22900,717,28500,40,46,0,22,1
43,38,73805,2321,4233,575,28888,24,48,6,22,0
44,36,53572,1384,26667,710,0,34,59,13,22,1
45,22,78004,1948,6944,691,8973,25,55,3,23,1
46,31,45909,2267,12174,573,47266,28,28,3,23,1
47,34,49231,1320,11735,659,0,36,37,0,16,2
48,52,66777,1279,25342,584,16630,29,70,8,14,1
49,44,29811,1832,23165,813,15999,35,83,12,19,3
50,18,44389,2733,17805,728,12079,22,59,11,22,2
51,43,32307,912,2723,695,0,27,6,13,17,2
52,35,40355,1840,7409,708,36547,32,88,5,16,1
53,31,79458,1341,18135,735,19901,25,33,10,22,2
54,47,40431,2130,25494,756,0,30,64,3,15,1
55,52,43866,794,12572,721,10126,27,38,7,17,1
56,51,20000,2849,26005,665,25244,24,52,6,13,0
57,29,45345,2261,14275,665,7830,29,82,13,14,1
58,36,20000,1320,3035,687,18104,35,114,3,9,2
59,43,59414,1863,19229,589,28273,26,62,4,18,1
60,51,66639,1526,4065,745,22038,32,27,7,23,1
61,34,61634,1742,10231,688,20900,32,69,6,19,2
62,37,32179,2046,8850,488,48958,31,44,0,20,2
63,26,54011,1173,9076,647,33953,27,43,4,18,1
64,25,61608,2283,838,590,18566,32,69,2,22,4
65,49,49187,1861,13843,718,12772,28,65,11,29,1
66,56,35599,1293,4845,784,0,33,95,9,14,2
67,39,69207,1927,15172,711,16153,34,81,5,25,2
68,52,36858,1762,22194,718,23880,27,76,6,24,0
69,44,62097,1606,15841,616,43881,25,59,11,24,2
70,32,55302,1996,24810,626,11271,30,83,10,31,0
71,44,77147,1677,3623,615,9819,35,44,8,19,0
72,58,89525,2212,6650,673,16071,36,47,6,22,3
73,39,46483,779,15629,594,22135,30,76,5,17,0
74,58,37307,1488,20704,618,23961,30,48,7,20,1
75,18,57122,1500,26897,735,4578,20,44,8,23,1
76,49,55525,1368,12735,816,40635,27,20,11,23,2
77,41,64196,2178,5639,754,8857,34,46,7,23,0
78,36,43615,1518,20822,632,44413,34,46,7,24,2
79,41,43663,2201,3287,766,18714,30,18,9,21,1
80,18,53590,2084,4031,586,15056,30,75,10,19,2
81,37,59525,1806,7094,681,0,32,29,8,21,1
82,44,37976,1538,19507,760,30177,18,33,1,21,3
83,57,53115,1930,16808,703,19051,44,49,13,19,2
84,33,53820,1937,32689,701,13578,35,83,4,24,3
85,30,64860,2422,15894,774,48973,31,19,12,18,1
86,33,53771,1695,24743,614,2800,25,63,6,23,1
87,50,72377,2135,27306,765,42606,23,73,3,16,0
88,43,64848,1826,10944,767,22513,25,72,14,18,0
89,33,28334,1631,24880,674,13322,31,40,6,17,2
90,46,51510,2509,16891,676,27801,29,65,10,15,0
91,41,72408,2040,17152,695,17500,42,49,5,16,1
92,51,41049,1548,10639,700,0,26,5,7,18,2
93,31,59045,1790,23018,655,10777,25,84,12,16,3
94,36,60639,2165,17213,704,10455,27,39,1,13,2
95,35,57140,1912,14587,725,37930,30,104,4,16,0
96,22,49284,1474,4320,575,0,32,51,10,16,3
97,43,55740,1629,4587,656,0,48,54,8,21,1
98,43,46566,2260,12663,667,31001,23,48,5,24,1
99,40,44196,1499,15892,736,23632,29,48,4,14,2
100,37,68871,2161,15585,770,19455,22,47,10,19,1
101,23,50431,1361,12251,632,31896,25,57,3,25,0
102,34,90407,1514,14160,670,14515,36,67,6,19,1
103,35,33117,2727,14686,668,18294,32,37,11,22,3
104,30,56902,1729,20502,720,15043,33,64,4,15,1
105,38,42813,1966,22546,628,24194,32,104,6,24,2
106,44,66614,662,18132,741,19347,31,71,4,18,0
107,62,37900,1600,25979,842,23972,26,88,7,27,2
108,42,71839,2015,15524,608,14225,20,27,4,14,3
109,43,66130,1576,19799,629,30093,34,47,6,20,3
110,39,39247,1749,10167,633,14470,32,47,5,25,0
111,18,49693,2066,11194,611,36688,34,114,5,22,1
112,39,61731,1693,23581,696,2389,28,34,6,18,0
113,40,69314,1448,8806,706,4974,41,63,4,21,3
114,69,63971,1785,15797,549,27631,34,5,7,14,2
115,37,51706,1519,3419,776,66187,28,31,8,14,0
116,43,86582,696,11665,706,36278,26,85,6,25,1
117,39,72901,1678,18491,604,17945,28,83,0,24,2
118,25,40717,849,3021,733,2461,36,115,0,21,0
119,53,55576,2799,23041,665,29166,29,54,9,23,2
120,49,85829,1399,17226,612,7429,35,70,3,21,1
121,49,61067,2153,17430,671,23018,31,107,8,17,1
122,29,55456,2642,8906,673,29778,32,55,7,25,0
123,56,48976,1962,15673,678,0,31,44,6,20,0
124,23,38610,956,37702,526,36388,29,77,5,22,1
125,47,53815,1027,12355,747,0,23,12,4,19,3
126,66,52948,1794,10903,702,16165,26,59,9,27,0
127,28,32643,2616,23316,710,14743,23,80,9,17,2
128,33,42003,1661,24064,572,20197,22,62,2,21,1
129,41,69290,2045,6839,689,0,23,60,8,16,3
130,33,37165,2304,21795,687,25544,29,5,9,12,2
131,21,52101,2176,21111,619,30653,33,84,9,13,1
132,40,61959,1627,9825,640,42028,25,50,8,24,3
133,27,62797,1447,19296,676,25414,34,20,11,17,2
134,45,78545,2127,10734,665,24064,26,60,0,26,3
135,28,50261,2387,24173,671,21692,24,93,7,28,1
136,58,55264,2035,25312,627,9106,25,36,4,20,0
137,30,81012,1692,18886,647,12920,30,68,4,23,2
138,36,45451,1491,1611,699,17495,24,15,15,16,0
139,49,54637,1221,20663,680,19369,36,32,6,25,1
140,25,56759,1104,19212,754,0,35,67,3,19,3
141,42,52920,1297,11930,648,27269,34,41,15,18,1
142,55,69912,1766,12782,588,6032,27,75,4,17,2
143,20,20000,1431,350,677,3071,29,77,8,23,3
144,42,47889,1523,7585,756,23050,32,46,11,29,1
145,43,65725,2201,15434,723,0,30,5,8,26,0
146,49,41444,1304,8645,433,13293,25,142,11,18,2
147,25,42888,1487,3739,572,0,29,68,7,21,1
148,24,49072,2083,19046,762,8810,30,76,7,17,2
149,46,77096,1457,10464,774,27155,28,14,6,20,0
150,43,58303,2309,22458,646,0,35,103,7,15,0
151,43,52830,2166,14470,633,25197,25,32,8,17,1
152,44,37563,1272,10575,689,21653,32,71,9,21,2
153,31,58158,1810,16387,665,0,17,85,4,14,2
154,42,34111,1739,16088,669,31840,38,34,9,22,1
155,43,22804,2066,18962,642,16551,30,37,7,33,2
156,31,48857,1554,8936,657,21952,32,72,5,17,1
157,62,20000,1725,11584,639,18560,28,70,8,27,1
158,45,50641,1640,9721,725,33278,29,66,7,17,1
159,25,71644,2596,13941,650,0,24,70,10,23,2
160,47,78477,1649,9292,672,38773,34,46,2,21,1
161,28,68004,2564,1399,646,20009,26,117,13,16,3
162,49,70015,1610,188,707,9391,28,40,3,20,1
163,53,50139,1409,15210,638,14587,32,77,6,16,3
164,30,43712,2833,15241,762,18961,33,48,6,20,1
165,51,62447,2088,11659,703,30025,28,17,2,16,0
166,44,66937,2121,14412,643,28715,32,78,4,26,1
167,49,61042,1349,16878,705,23531,28,34,8,17,2
168,62,54953,1977,4680,661,30172,23,89,4,20,2
169,37,35645,1924,22557,777,17122,31,51,4,21,2
170,30,24834,2281,42439,622,42335,29,113,12,13,1
171,29,55402,1657,20342,742,19819,23,33,3,25,0
172,30,73388,1927,17238,607,54473,37,79,4,24,6
173,39,38132,2020,12895,587,36395,30,80,9,14,1
174,44,60434,1263,14743,685,32661,31,50,12,25,4
175,43,62673,824,13528,688,13066,23,75,11,15,2
176,49,61101,1675,558,545,16259,26,125,8,20,3
177,40,40560,1919,16814,632,22844,31,60,6,16,3
178,57,29179,2081,14452,770,24836,35,61,8,26,3
179,36,40821,1988,9001,765,38804,41,32,13,23,2
180,72,56624,1841,7253,633,14038,32,104,4,20,0
181,47,43971,1829,8103,679,19920,38,80,0,23,2
182,29,51938,1358,9480,642,14948,35,61,6,31,2
183,27,51256,2234,7057,632,5523,29,48,5,22,2
184,45,49902,1969,1179,803,12248,35,36,9,25,2
185,37,57358,1464,20892,571,33667,22,51,9,22,1
186,48,40103,586,22821,640,6169,46,65,3,7,1
187,45,63577,1954,11637,576,10707,37,46,7,15,1
188,39,40092,1693,4962,533,0,40,53,16,24,5
189,29,58045,2175,23483,681,11699,19,39,5,26,1
190,21,46172,1422,16607,750,0,31,63,10,20,1
191,34,45073,1570,0,581,27892,19,59,4,23,2
192,50,54024,2207,18520,612,40053,35,60,2,17,2
193,42,51640,2346,15627,624,15820,33,30,5,17,0
194,25,57869,1302,19398,664,14058,31,23,9,25,2
195,42,59762,2523,12674,680,17444,27,76,7,27,1
196,44,25323,2785,22693,625,0,31,64,4,21,1
197,29,60556,2239,16133,574,5815,27,31,12,19,2
198,41,60618,2247,9500,645,0,27,84,4,28,0
199,40,55181,1659,4964,733,0,26,98,11,18,2
200,26,66474,1684,7571,705,6282,29,78,10,13,2
201,44,59918,1268,4005,651,26048,30,24,7,20,0
202,46,36127,2035,28263,767,31725,38,77,1,29,2
203,52,78282,1978,7101,657,0,35,48,8,23,1
204,52,61653,1854,14935,715,27315,34,63,8,23,2
205,23,35778,1920,2918,645,11017,35,77,8,25,2
206,28,46428,1504,29744,558,36900,26,99,8,13,1
207,46,47660,1815,25282,678,25936,22,32,9,22,2
208,46,61403,1493,20993,689,25433,37,83,7,21,1
209,46,66844,1977,27969,690,3595,31,114,9,18,1
210,86,57164,2232,18798,649,17603,37,40,6,18,0
211,46,62438,1041,26573,653,22087,29,48,5,17,1
212,53,60938,1242,15706,789,25425,23,20,15,13,0
213,51,21169,2425,18544,648,21181,29,63,6,21,1
214,47,40712,2619,21300,767,16250,36,69,8,25,1
215,36,20000,1245,13402,632,35727,40,93,6,17,1
216,49,43210,1822,7251,631,15564,28,81,9,16,2
217,30,51480,1447,12949,660,18088,34,56,5,24,0
218,37,35497,2593,11528,650,0,31,53,13,17,2
219,34,49214,870,5790,855,12578,30,50,10,18,0
220,40,60780,1663,24762,758,29501,37,82,6,15,3
221,67,57887,813,10774,673,37121,29,70,10,25,2
222,18,47485,1212,14310,717,27945,40,55,2,31,0
223,48,38795,2434,11418,839,29167,35,55,6,23,2
224,20,64758,2078,13088,644,19463,28,81,8,33,0
225,34,65321,1347,17770,663,0,26,5,0,30,2
226,53,73816,2568,18532,684,131,38,52,3,22,2
227,40,43544,1953,11015,652,15616,30,58,0,15,1
228,27,27305,737,9816,607,50440,39,18,0,23,0
229,31,61192,2978,28709,691,24555,33,33,10,15,1
230,48,26396,1997,7724,563,21357,36,34,9,22,1
231,31,54267,1091,11016,721,50449,31,47,7,19,1
232,42,37913,939,23382,641,22941,27,23,3,33,2
233,40,52678,2042,4274,659,12356,25,53,2,22,1
234,32,33508,1748,24517,779,3751,29,59,7,18,2
235,65,45352,1704,20880,512,15179,27,55,7,15,0
236,47,43466,1374,10025,684,38527,31,62,9,22,2
237,18,57113,929,0,560,20025,34,64,12,25,2
238,42,74647,2173,20426,712,9128,27,93,8,30,2
239,32,59978,1841,12428,720,24086,24,60,5,24,1
240,50,48476,2261,32423,675,30385,21,97,6,20,2
241,30,71373,2121,19100,668,35011,19,42,6,21,1
242,38,60262,2857,16678,784,22141,32,86,7,21,1
243,46,20000,1186,7150,643,22336,24,53,6,16,2
244,50,45852,1933,23363,629,0,22,74,0,16,1
245,25,46698,2363,19266,637,28302,42,105,4,27,1
246,35,49032,1184,7025,613,37535,28,60,11,22,0
247,34,50332,1637,6802,743,24251,34,42,4,19,0
248,32,50458,1672,9601,576,11495,30,5,5,17,2
249,61,69151,2134,11135,736,14950,30,53,12,23,2
250,44,79869,1641,8014,721,9185,31,43,4,20,0
251,24,54321,1355,9705,652,40431,28,58,4,15,1
252,51,55212,1312,10402,775,23963,24,41,3,18,0
253,65,73780,1971,17135,662,17191,30,81,2,15,1
254,52,29401,2377,22056,716,4724,22,22,6,18,2
255,21,41043,1823,16644,622,11534,42,83,7,15,1
256,34,52726,2285,7213,600,46160,31,32,0,22,4
257,55,52133,1354,14866,593,2815,31,44,7,23,0
258,31,64187,1964,16974,734,7769,26,70,7,17,2
259,45,48122,1337,18362,800,32739,26,69,7,23,2
260,49,57933,2022,23852,571,28759,31,5,6,18,1
261,28,80216,1349,14898,678,13530,37,12,8,15,2
262,39,66040,2138,20251,741,18622,29,74,9,20,1
263,18,92162,2320,3394,619,0,23,39,12,18,1
264,27,50265,943,5387,726,17558,23,21,8,19,1
265,36,53194,2605,7755,646,58600,27,97,4,29,2
266,25,63840,820,12921,602,2722,23,43,0,23,2
267,59,55176,1572,8737,646,20375,34,96,5,21,2
268,22,51871,893,17974,641,9978,28,68,8,19,0
269,34,45617,1385,8714,637,39374,34,65,3,22,1
270,41,58317,1829,31525,631,22191,28,103,9,14,0
271,57,47574,1140,26739,545,8073,29,47,9,23,1
272,22,57633,1736,11127,784,42425,28,77,6,9,0
273,53,45584,1505,19656,590,17008,20,94,8,23,1
274,40,64188,1533,19240,712,23134,43,68,5,25,1
275,28,44751,1736,20179,631,26167,40,71,0,13,4
276,45,46369,1443,15460,590,13933,35,89,3,15,1
277,42,33671,2620,15524,657,27334,41,59,1,25,0
278,32,74687,1048,24294,759,63945,24,35,4,15,1
279,40,49714,1425,7288,658,0,36,54,5,16,4
280,35,59529,1796,20697,750,3634,33,58,8,19,0
